PERSON_ID,WAM,,ENG4701_ID,ENG4701_MARK,,ENG4701_WAM,ENG4701_DEPT,,ENG4702_ID,ENG4702_MARK,ENG4702_WAM,ENG4702_DEPT
29716985,74.604,,29718015,82,HD,65.884,CL_CIV,,,,,
28806875,74.583,,30605032,81,HD,66.923,CL_CIV,,,,,
29680050,74.551,,28574885,78,D,75.082,CL_CIV,,,,,
29687780,74.5,,29439949,80,D,79.077,CL_CIV,,,,,
29738164,74.484,,29738164,80,HD,74.484,CL_CIV,,,,,
27841979,74.469,,26929880,82,HD,65.597,CL_CIV,,,,,
28299345,74.444,,30063493,82,HD,63.645,CL_CIV,,,,,
30565065,74.429,,28766695,82,HD,71.629,CL_CIV,,,,,
30566959,74.417,,29708133,82,HD,78.933,CL_CIV,,,,,
29616352,74.406,,29849438,83,HD,80.857,CL_CIV,,,,,
30571790,74.3,,30717760,83,HD,68.763,CL_CIV,,,,,
30294126,74.286,,29715091,83,HD,71.61,CL_CIV,,,,,
30626684,74.267,,29806240,83,HD,76.333,CL_CIV,,,,,
29698928,74.267,,28682297,78,D,61.744,CL_CIV,,,,,
26864819,74.226,,27765725,80,D,67.8,CL_CIV,,,,,
30617855,74.225,,28892666,80,D,72.069,CL_CIV,,,,,
29682061,74.194,,29728045,74,D,75.339,CL_CIV,,,,,
29693993,74.186,,28795695,74,D,80.77,CL_CIV,,,,,
29709989,74.158,,29728703,74,D,73.5,CL_CIV,,,,,
29683777,74.14,,29723906,74,D,76.145,CL_CIV,,,,,
29715970,74.1,,29409071,72,D,62.094,CL_CIV,,,,,
29981972,74.079,,30509963,78,D,71.923,CL_CIV,,,,,
29937019,74.064,,28847504,28,N,77.421,CL_CIV,,,,,
27199894,74.06,,29002842,77,D,66.75,CL_CIV,,,,,
30712688,74.049,,29930049,72,D,70.5,CL_CIV,,,,,
28786297,73.984,,30581648,73,D,69.896,CL_CIV,,,,,
28803639,73.954,,28741269,78,D,69.587,CL_CIV,,,,,
29860113,73.933,,29666082,73,D,70.298,CL_CIV,,,,,
29736935,73.918,,29663385,82,HD,78.442,CL_CIV,,,,,
28803159,73.896,,29657512,82,HD,81.611,CL_CIV,,,,,
30563925,73.896,,30134773,73,D,67.958,CL_CIV,,,,,
30645441,73.88,,30572770,75,D,83,CL_CIV,,,,,
28744365,73.852,,29681812,78,D,78.27,CL_CIV,,,,,
29675359,73.818,,30511712,68,C,65.706,CL_CIV,,,,,
29685656,73.769,,30584736,78,WH,77.043,CL_CIV,,,,,
29707366,73.75,,31976085,31,WH,65.714,CL_CIV,,,,,
29689600,73.72,,29465915,51,P,56.167,CL_CIV,,,,,
29494699,73.7,,28296435,68,C,59.16,CL_CIV,,,,,
30618886,73.688,,28692764,28,WH,55.727,CL_CIV,,,,,
30564913,73.681,,29783100,72,D,68.625,CL_CIV,,,,,
29711517,73.65,,29702011,84,HD,81.475,CL_ECE,,,,,
29665760,73.639,,30212707,75,D,70.88,CL_ECE,,,,,
